# DPGA full geometry file (creation date: 2016-04-07 09:43:09.97714454 +0200 CEST)
# iChannelAbs240 X0 Y0 Z0 X1 Y1 Z1 X2 Y2 Z2 X3 Y3 Z3 X4 Y4 Z4 X5 Y5 Z5 X6 Y6 Z6 X7 Y7 Z7
0 -127.62600892061103 77.44820428516155 -55.25 -127.62600892061103 77.44820428516155 -68.25 -119.71211034349766 87.7617977089476 -68.25 -119.71211034349766 87.7617977089476 -55.25 -139.52630902497955 86.57962572029236 -55.25 -139.52630902497955 86.57962572029236 -68.25 -131.61241044786618 96.8932191440784 -68.25 -131.61241044786618 96.8932191440784 -55.25
1 -127.62600892061103 77.44820428516155 -74.75 -127.62600892061103 77.44820428516155 -87.75 -119.71211034349766 87.7617977089476 -87.75 -119.71211034349766 87.7617977089476 -74.75 -139.52630902497955 86.57962572029236 -74.75 -139.52630902497955 86.57962572029236 -87.75 -131.61241044786618 96.8932191440784 -87.75 -131.61241044786618 96.8932191440784 -74.75
2 -115.75516105494098 92.91859442084063 -55.25 -115.75516105494098 92.91859442084063 -68.25 -107.84126247782761 103.23218784462668 -68.25 -107.84126247782761 103.23218784462668 -55.25 -127.65546115930951 102.05001585597144 -55.25 -127.65546115930951 102.05001585597144 -68.25 -119.74156258219614 112.36360927975748 -68.25 -119.74156258219614 112.36360927975748 -55.25
3 -115.75516105494098 92.91859442084063 -74.75 -115.75516105494098 92.91859442084063 -87.75 -107.84126247782761 103.23218784462668 -87.75 -107.84126247782761 103.23218784462668 -74.75 -127.65546115930951 102.05001585597144 -74.75 -127.65546115930951 102.05001585597144 -87.75 -119.74156258219614 112.36360927975748 -87.75 -119.74156258219614 112.36360927975748 -74.75
4 -127.62600892061103 77.44820428516155 -16.25 -127.62600892061103 77.44820428516155 -29.25 -119.71211034349766 87.7617977089476 -29.25 -119.71211034349766 87.7617977089476 -16.25 -139.52630902497955 86.57962572029236 -16.25 -139.52630902497955 86.57962572029236 -29.25 -131.61241044786618 96.8932191440784 -29.25 -131.61241044786618 96.8932191440784 -16.25
5 -127.62600892061103 77.44820428516155 -35.75 -127.62600892061103 77.44820428516155 -48.75 -119.71211034349766 87.7617977089476 -48.75 -119.71211034349766 87.7617977089476 -35.75 -139.52630902497955 86.57962572029236 -35.75 -139.52630902497955 86.57962572029236 -48.75 -131.61241044786618 96.8932191440784 -48.75 -131.61241044786618 96.8932191440784 -35.75
6 -115.75516105494098 92.91859442084063 -16.25 -115.75516105494098 92.91859442084063 -29.25 -107.84126247782761 103.23218784462668 -29.25 -107.84126247782761 103.23218784462668 -16.25 -127.65546115930951 102.05001585597144 -16.25 -127.65546115930951 102.05001585597144 -29.25 -119.74156258219614 112.36360927975748 -29.25 -119.74156258219614 112.36360927975748 -16.25
7 -115.75516105494098 92.91859442084063 -35.75 -115.75516105494098 92.91859442084063 -48.75 -107.84126247782761 103.23218784462668 -48.75 -107.84126247782761 103.23218784462668 -35.75 -127.65546115930951 102.05001585597144 -35.75 -127.65546115930951 102.05001585597144 -48.75 -119.74156258219614 112.36360927975748 -48.75 -119.74156258219614 112.36360927975748 -35.75
8 -127.62600892061103 77.44820428516155 22.75 -127.62600892061103 77.44820428516155 9.75 -119.71211034349766 87.7617977089476 9.75 -119.71211034349766 87.7617977089476 22.75 -139.52630902497955 86.57962572029236 22.75 -139.52630902497955 86.57962572029236 9.75 -131.61241044786618 96.8932191440784 9.75 -131.61241044786618 96.8932191440784 22.75
9 -127.62600892061103 77.44820428516155 3.25 -127.62600892061103 77.44820428516155 -9.75 -119.71211034349766 87.7617977089476 -9.75 -119.71211034349766 87.7617977089476 3.25 -139.52630902497955 86.57962572029236 3.25 -139.52630902497955 86.57962572029236 -9.75 -131.61241044786618 96.8932191440784 -9.75 -131.61241044786618 96.8932191440784 3.25
10 -115.75516105494098 92.91859442084063 22.75 -115.75516105494098 92.91859442084063 9.75 -107.84126247782761 103.23218784462668 9.75 -107.84126247782761 103.23218784462668 22.75 -127.65546115930951 102.05001585597144 22.75 -127.65546115930951 102.05001585597144 9.75 -119.74156258219614 112.36360927975748 9.75 -119.74156258219614 112.36360927975748 22.75
11 -115.75516105494098 92.91859442084063 3.25 -115.75516105494098 92.91859442084063 -9.75 -107.84126247782761 103.23218784462668 -9.75 -107.84126247782761 103.23218784462668 3.25 -127.65546115930951 102.05001585597144 3.25 -127.65546115930951 102.05001585597144 -9.75 -119.74156258219614 112.36360927975748 -9.75 -119.74156258219614 112.36360927975748 3.25
12 -127.62600892061103 77.44820428516155 61.75 -127.62600892061103 77.44820428516155 48.75 -119.71211034349766 87.7617977089476 48.75 -119.71211034349766 87.7617977089476 61.75 -139.52630902497955 86.57962572029236 61.75 -139.52630902497955 86.57962572029236 48.75 -131.61241044786618 96.8932191440784 48.75 -131.61241044786618 96.8932191440784 61.75
13 -127.62600892061103 77.44820428516155 42.25 -127.62600892061103 77.44820428516155 29.25 -119.71211034349766 87.7617977089476 29.25 -119.71211034349766 87.7617977089476 42.25 -139.52630902497955 86.57962572029236 42.25 -139.52630902497955 86.57962572029236 29.25 -131.61241044786618 96.8932191440784 29.25 -131.61241044786618 96.8932191440784 42.25
14 -115.75516105494098 92.91859442084063 61.75 -115.75516105494098 92.91859442084063 48.75 -107.84126247782761 103.23218784462668 48.75 -107.84126247782761 103.23218784462668 61.75 -127.65546115930951 102.05001585597144 61.75 -127.65546115930951 102.05001585597144 48.75 -119.74156258219614 112.36360927975748 48.75 -119.74156258219614 112.36360927975748 61.75
15 -115.75516105494098 92.91859442084063 42.25 -115.75516105494098 92.91859442084063 29.25 -107.84126247782761 103.23218784462668 29.25 -107.84126247782761 103.23218784462668 42.25 -127.65546115930951 102.05001585597144 42.25 -127.65546115930951 102.05001585597144 29.25 -119.74156258219614 112.36360927975748 29.25 -119.74156258219614 112.36360927975748 42.25
16 -127.62600892061103 77.44820428516155 100.75 -127.62600892061103 77.44820428516155 87.75 -119.71211034349766 87.7617977089476 87.75 -119.71211034349766 87.7617977089476 100.75 -139.52630902497955 86.57962572029236 100.75 -139.52630902497955 86.57962572029236 87.75 -131.61241044786618 96.8932191440784 87.75 -131.61241044786618 96.8932191440784 100.75
17 -127.62600892061103 77.44820428516155 81.25 -127.62600892061103 77.44820428516155 68.25 -119.71211034349766 87.7617977089476 68.25 -119.71211034349766 87.7617977089476 81.25 -139.52630902497955 86.57962572029236 81.25 -139.52630902497955 86.57962572029236 68.25 -131.61241044786618 96.8932191440784 68.25 -131.61241044786618 96.8932191440784 81.25
18 -115.75516105494098 92.91859442084063 100.75 -115.75516105494098 92.91859442084063 87.75 -107.84126247782761 103.23218784462668 87.75 -107.84126247782761 103.23218784462668 100.75 -127.65546115930951 102.05001585597144 100.75 -127.65546115930951 102.05001585597144 87.75 -119.74156258219614 112.36360927975748 87.75 -119.74156258219614 112.36360927975748 100.75
19 -115.75516105494098 92.91859442084063 81.25 -115.75516105494098 92.91859442084063 68.25 -107.84126247782761 103.23218784462668 68.25 -107.84126247782761 103.23218784462668 81.25 -127.65546115930951 102.05001585597144 81.25 -127.65546115930951 102.05001585597144 68.25 -119.74156258219614 112.36360927975748 68.25 -119.74156258219614 112.36360927975748 81.25
20 -143.3223284006077 41.777178959670934 -61.75 -143.3223284006077 41.777178959670934 -74.75 -138.3474437798615 53.78761288231766 -74.75 -138.3474437798615 53.78761288231766 -61.75 -157.180521388277 47.51743044514728 -61.75 -157.180521388277 47.51743044514728 -74.75 -152.2056367675308 59.52786436779401 -74.75 -152.2056367675308 59.52786436779401 -61.75
21 -143.3223284006077 41.777178959670934 -81.25 -143.3223284006077 41.777178959670934 -94.25 -138.3474437798615 53.78761288231766 -94.25 -138.3474437798615 53.78761288231766 -81.25 -157.180521388277 47.51743044514728 -81.25 -157.180521388277 47.51743044514728 -94.25 -152.2056367675308 59.52786436779401 -94.25 -152.2056367675308 59.52786436779401 -81.25
