# DPGA geometry file (creation date: 2016-04-07 13:26:12.061784562 +0200 CEST)
# iChannelAbs240 X Y Z
0 -111.7982117663843 98.07539113273366 -81.25
1 -111.7982117663843 98.07539113273366 -61.75
2 -123.66905963205434 82.60500099705457 -81.25
3 -123.66905963205434 82.60500099705457 -61.75
4 -111.7982117663843 98.07539113273366 -42.25
5 -111.7982117663843 98.07539113273366 -22.75
6 -123.66905963205434 82.60500099705457 -42.25
7 -123.66905963205434 82.60500099705457 -22.75
8 -111.7982117663843 98.07539113273366 -3.25
9 -111.7982117663843 98.07539113273366 16.25
10 -123.66905963205434 82.60500099705457 -3.25
11 -123.66905963205434 82.60500099705457 16.25
12 -111.7982117663843 98.07539113273366 35.75
13 -111.7982117663843 98.07539113273366 55.25
14 -123.66905963205434 82.60500099705457 35.75
15 -123.66905963205434 82.60500099705457 55.25
16 -111.7982117663843 98.07539113273366 74.75
17 -111.7982117663843 98.07539113273366 94.25
18 -123.66905963205434 82.60500099705457 74.75
19 -123.66905963205434 82.60500099705457 94.25
20 -133.37255915911533 65.79804680496439 -87.75
21 -133.37255915911533 65.79804680496439 -68.25
22 -140.8348860902346 47.7823959209943 -87.75
23 -140.8348860902346 47.7823959209943 -68.25
24 -133.37255915911533 65.79804680496439 -48.75
25 -133.37255915911533 65.79804680496439 -29.25
26 -140.8348860902346 47.7823959209943 -48.75
27 -140.8348860902346 47.7823959209943 -29.25
28 -133.37255915911533 65.79804680496439 -9.75
29 -133.37255915911533 65.79804680496439 9.75
30 -140.8348860902346 47.7823959209943 -9.75
31 -140.8348860902346 47.7823959209943 9.75
32 -133.37255915911533 65.79804680496439 29.25
33 -133.37255915911533 65.79804680496439 48.75
34 -140.8348860902346 47.7823959209943 29.25
35 -140.8348860902346 47.7823959209943 48.75
36 -133.37255915911533 65.79804680496439 68.25
37 -133.37255915911533 65.79804680496439 87.75
38 -140.8348860902346 47.7823959209943 68.25
39 -140.8348860902346 47.7823959209943 87.75
40 -145.85778705372795 29.0366743238503 -94.25
41 -145.85778705372795 29.0366743238503 -74.75
42 -148.40304780201896 9.703499527060996 -94.25
43 -148.40304780201896 9.703499527060996 -74.75
44 -145.85778705372795 29.0366743238503 -55.25
45 -145.85778705372795 29.0366743238503 -35.75
46 -148.40304780201896 9.703499527060996 -55.25
47 -148.40304780201896 9.703499527060996 -35.75
48 -145.85778705372795 29.0366743238503 -16.25
49 -145.85778705372795 29.0366743238503 3.25
50 -148.40304780201896 9.703499527060996 -16.25
51 -148.40304780201896 9.703499527060996 3.25
52 -145.85778705372795 29.0366743238503 22.75
53 -145.85778705372795 29.0366743238503 42.25
54 -148.40304780201896 9.703499527060996 22.75
55 -148.40304780201896 9.703499527060996 42.25
56 -145.85778705372795 29.0366743238503 61.75
57 -145.85778705372795 29.0366743238503 81.25
